Sub-Station,ID,MVA,Voltage Ratio,Owner ,Normal Tap Position,Present Tap Position
Bina-NTS,1,1000,1200/400,PGCIL,-,-
Bina-NTS,2,1000,1200/400,PGCIL,-,-
Akola(2),1,1500,765/400,MEGPTCL,12,11
Aurangabad-PG,1,1500,765/400,PGCIL,12,14
Aurangabad-PG,2,1500,765/400,PGCIL,12,14
Bhopal-BDTCL,1,1500,765/400,BDTCL,12,11
Bhopal-BDTCL,2,1500,765/400,BDTCL,12,11
Bilaspur,1,1500,765/400,PGCIL,12,12
Bilaspur,2,1500,765/400,PGCIL,12,12
Bilaspur,3,1500,765/400,PGCIL,12,12
Bina-PG,1,1000,765/400,PGCIL,11,11
Bina-PG,2,1000,765/400,PGCIL,11,11
Champa ,1,1500,765/400,PGCIL,12,12
Champa ,1,1500,765/400,PGCIL,12,12
Dharamjaygarh,1,1500,765/400,PGCIL,12,12
Dharamjaygarh,2,1500,765/400,PGCIL,12,12
Dhule-BDTCL,1,1500,765/400,BDTCL,12,13
Dhule-BDTCL,2,1500,765/400,BDTCL,12,13
Ektuni (Aurangabad(3)),1,1500,765/400,MEGPTCL,12,12
Gwalior,1,1500,765/400,PGCIL,12,12B
Gwalior,2,1500,765/400,PGCIL,12,12B
Indore-PG,1,1500,765/400,PGCIL,12,12
Indore-PG,2,1500,765/400,PGCIL,12,12
Jabalpur-PS,1,1500,765/400,PGCIL,12,12
Jabalpur-PS,2,1500,765/400,PGCIL,12,12
Koradi(III),1,1500,765/400,MEGPTCL,12,12
Koradi(III),2,1500,765/400,MEGPTCL,12,12
Pune-PG(Shikrapur),1,1500,765/400,PGCIL,12,12
Pune-PG(Shikrapur),2,1500,765/400,PGCIL,12,12
Raigarh-PS(Kotra),1,1500,765/400,PGCIL,12,12
Raigarh-PS(Kotra),2,1500,765/400,PGCIL,12,12
Raigarh-PS(Kotra),3,1500,765/400,PGCIL,12,12
Raigarh-PS(Kotra),4,1500,765/400,PGCIL,12,12
Raipur-PS(Durg),1,1500,765/400,PGCIL,12,12
Sasan,1,1000,765/400,SPL,11,11
Sasan,2,1000,765/400,SPL,11,11
Satna,1,1000,765/400,PGCIL,11,12
Satna,2,1000,765/400,PGCIL,11,12
Seoni,1,1500,765/400,PGCIL,12,6
Seoni,2,1500,765/400,PGCIL,12,6
Seoni,3,1500,765/400,PGCIL,12,6
Sipat,1,1000,765/400,NTPC,11,9
Sipat,2,1000,765/400,NTPC,11,9
Solapur,1,1500,765/400,PGCIL,12,12
Solapur,2,1500,765/400,PGCIL,12,12
Tamnar,1,1500,765/400,PGCIL,12,12
Tamnar,2,1500,765/400,PGCIL,12,12
Tamnar,3,1500,765/400,PGCIL,12,12
Tiroda,1,1500,765/400,MEGPTCL,12,11
Vadodora-PS ,1,1500,765/400,PGCIL,12,12
Vadodora-PS ,2,1500,765/400,PGCIL,12,12
Vindhyachal-PS,1,1500,765/400,PGCIL,12,12
Vindhyachal-PS,2,1500,765/400,PGCIL,12,12
Wardha,1,1500,765/400,PGCIL,12,12
Wardha,2,1500,765/400,PGCIL,12,12
Wardha,3,1500,765/400,PGCIL,12,12
ACBIL,1,200,400/132,ACBIL,9,9
Akola(2),1,315,400/220,MSETCL,9b,8
Akola(2),2,315,400/220,MSETCL,9b,8
Amreli,1,315,400/220,GETCO,9b,9
Amreli,2,315,400/220,GETCO,9b,9
Amreli,3,315,400/220,GETCO,9b,9
APL-Mundra,1,315,400/220,APL,9b,9
APL-Mundra,2,315,400/220,APL,9b,9
Asoj,1,500,400/220,GETCO,9,12
Asoj,2,500,400/220,GETCO,9,12
Asoj,3,315,400/220,GETCO,9b,12
Asoj,4,315,400/220,GETCO,9b,12
Astha,1,315,400/220,MPPTCL,9b,9b
Astha,2,315,400/220,MPPTCL,9b,9b
Aurangabad-M(Waluj),3,500,400/220,MSETCL,9,9
Aurangabad-M(Waluj),1,315,400/220,MSETCL,9b,9
Aurangabad-M(Waluj),2,315,400/220,MSETCL,9b,9
Aurangabad-PG,1,315,400/220,PGCIL,9b,9
Aurangabad-PG,2,315,400/220,PGCIL,9b,9
Bableshwar,4,500,400/220,MSETCL,9,9
Bableshwar,3,500,400/220,MSETCL,9,9
Bableshwar,1,315,400/220,MSETCL,9b,9
Bableshwar,2,315,400/220,MSETCL,9b,9
Bachau,1,315,400/220,PGCIL,9b,9b
Bachau,2,315,400/220,PGCIL,9b,9b
Balco,1,315,400/220,BALCO,9b,9
Balco,2,315,400/220,BALCO,9b,9
Balco,3,315,400/220,BALCO,9b,9
Bhadrawati,1,315,400/220,PGCIL,9b,9b
Bhatapara,1,315,400/220,PGCIL,9b,9b
Bhatapara,2,315,400/220,PGCIL,9b,9b
Bhilai,1,315,400/220,PGCIL,9b,13
Bhilai,2,315,400/220,PGCIL,9b,13
Bhilai,3,315,400/220,PGCIL,9b,13
Bhopal-MP,1,315,400/220,MPPTCL,9b,9
Bhopal-MP,2,315,400/220,MPPTCL,9b,9
Bhopal-MP,3,315,400/220,MPPTCL,9b,9
Bhusawal (Khadka),1,315,400/220,MSETCL,9b,12
Bina-MP,1,315,400/220,MPPTCL,9b,9
Bina-MP,2,315,400/220,MPPTCL,9b,9
Bina-MP,3,315,400/220,MPPTCL,9b,9
Bina-PG,1,315,400/220,PGCIL,9b,9b
Birsingpur,1,500,400/220,MPPTCL,9,11
Boisar,3,500,400/220,PGCIL,9,9
Boisar,1,315,400/220,PGCIL,9b,9
Boisar,2,315,400/220,PGCIL,9b,9
Chakan,1,315,400/220,MSETCL,9b,11
Chakan,2,315,400/220,MSETCL,9b,11
Chandrapur,1,315,400/220,MSETCL,9b,9
Chandrapur,2,315,400/220,MSETCL,9b,9
Chhegaon,1,315,400/220,MPPTCL,9b,9b
Chorania,1,500,400/220,GETCO,9,13
Chorania,2,500,400/220,GETCO,9,13
Damoh,1,315,400/220,PGCIL,9b,13
Damoh,2,315,400/220,PGCIL,9b,13
Deepnagar,1,500,400/220,MSETCL,9,10
Deepnagar,2,500,400/220,MSETCL,9,10
Dehgam,1,315,400/220,PGCIL,9b,12
Dehgam,2,315,400/220,PGCIL,9b,12
Dhule-MS,3,500,400/220,MSETCL,9,9
Dhule-MS,1,315,400/220,MSETCL,9b,11
Dhule-MS,2,315,400/220,MSETCL,9b,11
Gandhar,1,500,400/220,NTPC,9b,10
Gandhar,2,500,400/220,NTPC,9b,10
GPEC,1,500,400/220,GETCO,9,11
Gwalior,1,315,400/220,PGCIL,9b,9b
Gwalior,2,315,400/220,PGCIL,9b,9b
Gwalior,3,315,400/220,PGCIL,9b,9b
Hadala,1,315,400/220,GETCO,9b,9
Hadala,2,315,400/220,GETCO,9b,9
Hadala,3,315,400/220,GETCO,9b,9
Hazira,1,500,400/220,ESSAR,9,8
Hazira,2,500,400/220,ESSAR,9,8
Hazira,3,500,400/220,ESSAR,9,8
Indore-MP,1,315,400/220,MPPTCL,9b,13
Indore-MP,2,315,400/220,MPPTCL,9b,13
Indore-MP,3,315,400/220,MPPTCL,9b,13
Indore-MP,4,315,400/220,MPPTCL,9b,13
Itarsi,1,315,400/220,PGCIL,9b,11
Jabalpur,1,315,400/220,PGCIL,9b,11
Jabalpur,2,315,400/220,PGCIL,9b,11
