name,owner,voltage,region,state,description
ACBIL,ACBIL,400,WR,NA,NA
Akola,MSETCL,400,WR,NA,NA
Akola(2),MSETCL,400,WR,NA,NA
Amreli,GETCO,400,WR,NA,NA
APL-Mundra,APL,400,WR,NA,NA
Asoj,GETCO,400,WR,NA,NA
Astha,MPPTCL,400,WR,NA,NA
Athena,ACPL,400,WR,NA,NA
Aurangabad-M(Waluj),MSETCL,400,WR,NA,NA
Aurangabad-PG,PGCIL,400,WR,NA,NA
Bableshwar,MSETCL,400,WR,NA,NA
Bachau,PGCIL,400,WR,NA,NA
Balco,BALCO,400,WR,NA,NA
Bhadrawati,PGCIL,400,WR,NA,NA
Bhatapara,PGCIL,400,WR,NA,NA
Bhilai,,400,WR,NA,NA
Bhopal-BDTCL,BDTCL,400,WR,NA,NA
Bhopal-MP,MPPTCL,400,WR,NA,NA
Bhusawal (Khadka),MSETCL,400,WR,NA,NA
Bilaspur ,,400,WR,NA,NA
Bina-MP,MPPTCL,400,WR,NA,NA
Bina-NHPTL,NHPTL,400,WR,NA,NA
Bina-NTS,PGCIL,400,WR,NA,NA
Bina-PG,PGCIL,400,WR,NA,NA
Birsingpur,MPPTCL,400,WR,NA,NA
Boisar,,400,WR,NA,NA
CGPL,CGPL,400,WR,NA,NA
Chakan,,400,WR,NA,NA
Champa ,PGCIL,400,WR,NA,NA
Chandrapur,,400,WR,NA,NA
Chandrapur-II,,400,WR,NA,NA
Chhegaon,MPPTCL,400,WR,NA,NA
Chorania,GETCO,400,WR,NA,NA
Damoh,PGCIL,400,WR,NA,NA
DB-Power,,400,WR,NA,NA
Deepnagar,,400,WR,NA,NA
Dehgam,PGCIL,400,WR,NA,NA
DGEN,DGEN,400,WR,NA,NA
Dhariwal,DIL,400,WR,NA,NA
Dhariwal-MS,DIL,400,WR,NA,NA
Dhule-BDTCL,,400,WR,NA,NA
Dhule-MS,MSETCL,400,WR,NA,NA
EMCO,GMR,400,WR,NA,NA
Essar_Mahan,ESSAR,400,WR,NA,NA
Gandhar,NTPC,400,WR,NA,NA
GMR-CG,GMR,400,WR,NA,NA
GPEC,,400,WR,NA,NA
Gwalior,PGCIL,400,WR,NA,NA
Hadala,GETCO,400,WR,NA,NA
Hazira,,400,WR,NA,NA
IEPL,,400,WR,NA,NA
Indira Sagar,,400,WR,NA,NA
Indore-MP,,400,WR,NA,NA
Indore-PG,PGCIL,400,WR,NA,NA
Itarsi,PGCIL,400,WR,NA,NA
Jabalpur,PGCIL,400,WR,NA,NA
Jabalpur (PS),PGCIL,400,WR,NA,NA
Jaigad,JPTL,400,WR,NA,NA
Jejuri,,400,WR,NA,NA
Jetpur,GETCO,400,WR,NA,NA
Jhabua Power,,400,WR,NA,NA
JP-Bina,,400,WR,NA,NA
JPL,JPL,400,WR,NA,NA
JPL_extn(Tamnar),,400,WR,NA,NA
